!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
!,,,,,,,
! Revision 0.0  2012-09-17 Andre,,,,,,, 
! GB2 Initial version,,,,,,,
!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
# Addr,Name,Def/mask,SubDes,Des,,,
,,,,,,,
,,,,,,,
,,,,,,,
R30.0,Device Control 1 ,16'h0A00,,,,,
30.33.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.33.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.33.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.33.7,Reserved,R,,,,,
30.33.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.33.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.33.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.33.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.33.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.34,Host Lane 2 Pattern Control,16'h0000,,,,,
30.34.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.34.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.34.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.34.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.34.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.34.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.34.7,Reserved,R,,,,,
30.34.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.34.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.34.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.34.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.34.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.35,Host Lane 3 Pattern Control,16'h0000,,,,,
30.35.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.35.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.35.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.35.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.35.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.35.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.35.7,Reserved,R,,,,,
30.35.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.35.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.35.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.35.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.35.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.36,Host Lane 4 Pattern Control,16'h0000,,,,,
30.36.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.36.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.36.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.36.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.36.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.36.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.36.7,Reserved,R,,,,,
30.36.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.36.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.36.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.36.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.36.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.37,Host Lane 5 Pattern Control,16'h0000,,,,,
30.37.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.37.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.37.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.37.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.37.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.37.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.37.7,Reserved,R,,,,,
30.37.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.37.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.37.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.37.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.37.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.38,Host Lane 6 Pattern Control,16'h0000,,,,,
30.38.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.38.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.38.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.38.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.38.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.38.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.38.7,Reserved,R,,,,,
30.38.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.38.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.38.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.38.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.38.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.39,Host Lane 7 Pattern Control,16'h0000,,,,,
30.39.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.39.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.39.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.39.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.39.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.39.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.39.7,Reserved,R,,,,,
30.39.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.39.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.39.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.39.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.39.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.40,Host Lane 8 Pattern Control,16'h0000,,,,,
30.40.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.40.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.40.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.40.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.40.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.40.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.40.7,Reserved,R,,,,,
30.40.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.40.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.40.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.40.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.40.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
R30.41,Host Lane 9 Pattern Control,16'h0000,,,,,
30.41.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors,,,
30.41.14,prbs_autovr,RW,0=disable; 1=enable,Automatic  PRBS verifier select : 1=verifier will scan through all verifier patterntypes until it finds one that locks. 0=only slected pattern type will be checked. ,,,
30.41.13,Loopback_en,RW,0=disable; 1=enable,SERDES per lane local loopback : 1=loopback data from SERDES Tx to SERDES Rx for selected lane; 0=normal SERDES operation,,,
30.41.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification,,,
30.41.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern,,,
30.41.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Receiver pattern verifier type : if prbs_autovr=0 this field selects pattern type; if  prbs_autovr=1 this field displays the pattern type locked to;,,,
30.41.7,Reserved,R,,,,,
30.41.6,tx_disable,RW,0=enable; 1=disable,Disable  lane SERDES transmitter: 1= Disabled; 0 = Enabled; Note default value of this bit is 0 - Disabled,,,
30.41.5,error_insert,RW,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.,,,
30.41.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation,,,
30.41.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern,,,
30.41.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,,,
,,,,,,,
,,,,,,,
R30.48,Custom Pattern Lo ,16'h0000,,,,,
30.48.15:0,Pattern 15:0,RW,,Custom transmit Pattern bits 15:0,,,
R30.49,Custom Pattern Mid,16'h0000,,,,,
30.49.15:0,Pattern 32:16,RW,,Custom transmit Pattern bits 31:16,,,
R30.50,Custom Pattern Hi,16'h0000,,,,,
30.50.15:8,Reserved,R,,,,,
30.50.7:0,Pattern 39:32,RW,,Custom transmit Pattern bits 39:32,,,
,,,,,,,
,,,,,,,
R30.4096,Optical Tx Lane 0 Main Control,16'h0006,,,,,
30.4096.15:3,Reserved,R,,,,,
30.4096.3,Reserved,RW,,,,,
30.4096.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.4096.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.4352,Optical Tx Lane 1 Main Control,16'h0006,,,,,
30.4352.15:3,Reserved,R,,,,,
30.4352.3,Reserved,RW,,,,,
30.4352.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.4352.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.4608,Optical Tx Lane 2 Main Control,16'h0006,,,,,
30.4608.15:3,Reserved,R,,,,,
30.4608.3,Reserved,RW,,,,,
30.4608.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.4608.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.4864,Optical Tx Lane 3 Main Control,16'h0006,,,,,
30.4864.15:3,Reserved,R,,,,,
30.4864.3,Reserved,RW,,,,,
30.4864.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.4864.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.5120,Optical Tx Lane 4 Main Control,16'h0006,,,,,
30.5120.15:3,Reserved,R,,,,,
30.5120.3,Reserved,RW,,,,,
30.5120.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.5120.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.5376,Optical Tx Lane 5 Main Control,16'h0006,,,,,
30.5376.15:3,Reserved,R,,,,,
30.5376.3,Reserved,RW,,,,,
30.5376.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.5376.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.5632,Optical Tx Lane 6 Main Control,16'h0006,,,,,
30.5632.15:3,Reserved,R,,,,,
30.5632.3,Reserved,RW,,,,,
30.5632.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.5632.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.5888,Optical Tx Lane 7 Main Control,16'h0006,,,,,
30.5888.15:3,Reserved,R,,,,,
30.5888.3,Reserved,RW,,,,,
30.5888.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.5888.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.6144,Optical Tx Lane 8 Main Control,16'h0006,,,,,
30.6144.15:3,Reserved,R,,,,,
30.6144.3,Reserved,RW,,,,,
30.6144.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.6144.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.6400,Optical Tx Lane 9 Main Control,16'h0006,,,,,
30.6400.15:3,Reserved,R,,,,,
30.6400.3,Reserved,RW,,,,,
30.6400.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.6400.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.8192,Host Tx Lane 0 Main Control,16'h0006,,,,,
30.8192.15:3,Reserved,R,,,,,
30.8192.3,Reserved,RW,,,,,
30.8192.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.8192.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.8448,Host Tx Lane 1 Main Control,16'h0006,,,,,
30.8448.15:3,Reserved,R,,,,,
30.8448.3,Reserved,RW,,,,,
30.8448.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.8448.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.8704,Host Tx Lane 2 Main Control,16'h0006,,,,,
30.8704.15:3,Reserved,R,,,,,
30.8704.3,Reserved,RW,,,,,
30.8704.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.8704.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.8960,Host Tx Lane 3 Main Control,16'h0006,,,,,
30.8960.15:3,Reserved,R,,,,,
30.8960.3,Reserved,RW,,,,,
30.8960.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.8960.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.9216,Host Tx Lane 4 Main Control,16'h0006,,,,,
30.9216.15:3,Reserved,R,,,,,
30.9216.3,Reserved,RW,,,,,
30.9216.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.9216.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.9472,Host Tx Lane 5 Main Control,16'h0006,,,,,
30.9472.15:3,Reserved,R,,,,,
30.9472.3,Reserved,RW,,,,,
30.9472.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.9472.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.9728,Host Tx Lane 6 Main Control,16'h0006,,,,,
30.9728.15:3,Reserved,R,,,,,
30.9728.3,Reserved,RW,,,,,
