!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
,,,,
30.5380.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5380.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5380.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5636,Optical Tx Lane 6 phase trim ,16'h0000,,
30.5636.15:12,Reserved,R,,
30.5636.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.5636.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5636.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5636.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5892,Optical Tx Lane 7 phase trim ,16'h0000,,
30.5892.15:12,Reserved,R,,
30.5892.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.5892.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5892.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5892.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.6148,Optical Tx Lane 8 phase trim ,16'h0000,,
30.6148.15:12,Reserved,R,,
30.6148.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.6148.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.6148.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.6148.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.6404,Optical Tx Lane 9 phase trim ,16'h0000,,
30.6404.15:12,Reserved,R,,
30.6404.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.6404.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.6404.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.6404.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8196,Host Tx Lane 0 phase trim ,16'h0000,,
30.8196.15:12,Reserved,R,,
30.8196.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8196.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8196.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8196.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8452,Host Tx Lane 1 phase trim ,16'h0000,,
30.8452.15:12,Reserved,R,,
30.8452.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8452.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8452.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8452.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8708,Host Tx Lane 2 phase trim ,16'h0000,,
30.8708.15:12,Reserved,R,,
30.8708.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8708.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8708.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8708.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8964,Host Tx Lane 3 phase trim ,16'h0000,,
30.8964.15:12,Reserved,R,,
30.8964.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8964.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8964.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8964.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9220,Host Tx Lane 4 phase trim ,16'h0000,,
30.9220.15:12,Reserved,R,,
30.9220.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9220.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9220.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9220.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9476,Host Tx Lane 5 phase trim ,16'h0000,,
30.9476.15:12,Reserved,R,,
30.9476.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9476.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9476.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9476.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9732,Host Tx Lane 6 phase trim ,16'h0000,,
30.9732.15:12,Reserved,R,,
30.9732.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9732.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9732.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9732.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9988,Host Tx Lane 7 phase trim ,16'h0000,,
30.9988.15:12,Reserved,R,,
30.9988.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9988.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9988.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9988.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.10244,Host Tx Lane 8 phase trim ,16'h0000,,
30.10244.15:12,Reserved,R,,
30.10244.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.10244.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.10244.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.10244.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.10500,Host Tx Lane 9 phase trim ,16'h0000,,
30.10500.15:12,Reserved,R,,
30.10500.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.10500.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.10500.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.10500.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
,,,,
,,,,
R30.4614,VT Sensor Control,16'h0000,,
30.4614.15:14,Reserved,R,,
30.4614.13:11,Clock Div,RW,,Clock divider select
30.4614.10:9,Volt mode Cal,RW,,Calibration control for voltage mode
30.4614.8:7,Temp mode cal,RW,,Calibration control for temperature mode
30.4614.6,Cal enable,RW,0=disable; 1=enable,Enable calibration mode
30.4614.5:2,Volt Select,RW,,"In voltage sense mode, select which voltage sense point to measure"
30.4614.1,VT mode,RW,0=temperature mode; 1=voltage mode,Sensor mode
30.4614.0,enable,RW,0=disable; 1=enable,Enable the VT sensor
,,,,
R30.4615,VT Sensor Observe,16'h0000,,
30.4615.15:10,Reserved,R,,
30.4615.9:0,Sense val,R,,Sensor read value. Reading this field will return a binary value proportional to the temperature/voltage measurement being sensed. This value should be scaled by the value read from the temperature or voltage gain trim registers below before conversion to a temperature or voltage value. 
,,,,
R30.4616,VT Sensor Temp Gain,16'h0000,,
30.4616.15:10,Reserved,R,,
30.4616.9:0,Temp gain,RW,,This field allows the fuse trim value for the temperature gain to be read or overridden.
,,,,
R30.4617,VT Sensor Voltage Gain,16'h0000,,
30.4617.15:10,Reserved,R,,
30.4617.9:0,Voltage gain,RW,,This field allows the fuse trim value for the voltage gain to be read or overridden.
,,,,
R30.4112,Optical Tx Lane 0 Amux Select,16'h0006,,
30.4112.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.4112.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.4112.7,Reserved,RW,,
30.4112.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.4112.3,Reserved,RW,,
30.4112.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.4370,Optical Tx Lane 1 Amux Select,16'h0006,,
30.4370.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.4370.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.4370.7,Reserved,RW,,
30.4370.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.4370.3,Reserved,RW,,
30.4370.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.4624,Optical Tx Lane 2 Amux Select,16'h0006,,
30.4624.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.4624.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.4624.7,Reserved,RW,,
30.4624.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.4624.3,Reserved,RW,,
30.4624.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.4880,Optical Tx Lane 3 Amux Select,16'h0006,,
30.4880.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.4880.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.4880.7,Reserved,RW,,
30.4880.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.4880.3,Reserved,RW,,
30.4880.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.5136,Optical Tx Lane 4 Amux Select,16'h0006,,
30.5136.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.5136.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.5136.7,Reserved,RW,,
30.5136.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.5136.3,Reserved,RW,,
30.5136.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.5392,Optical Tx Lane 5 Amux Select,16'h0006,,
30.5392.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.5392.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.5392.7,Reserved,RW,,
30.5392.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.5392.3,Reserved,RW,,
30.5392.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.5648,Optical Tx Lane 6 Amux Select,16'h0006,,
30.5648.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.5648.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.5648.7,Reserved,RW,,
30.5648.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.5648.3,Reserved,RW,,
30.5648.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.5904,Optical Tx Lane 7 Amux Select,16'h0006,,
30.5904.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.5904.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.5904.7,Reserved,RW,,
30.5904.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.5904.3,Reserved,RW,,
30.5904.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.6160,Optical Tx Lane 8 Amux Select,16'h0006,,
30.6160.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.6160.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.6160.7,Reserved,RW,,
30.6160.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.6160.3,Reserved,RW,,
30.6160.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.6416,Optical Tx Lane 9 Amux Select,16'h0006,,
30.6416.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.6416.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.6416.7,Reserved,RW,,
30.6416.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.6416.3,Reserved,RW,,
30.6416.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.8208,Host Tx Lane 0 Amux Select,16'h0006,,
30.8208.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.8208.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.8208.7,Reserved,RW,,
30.8208.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.8208.3,Reserved,RW,,
30.8208.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.8464,Host Tx Lane 1 Amux Select,16'h0006,,
30.8464.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.8464.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.8464.7,Reserved,RW,,
30.8464.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.8464.3,Reserved,RW,,
30.8464.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.8720,Host Tx Lane 2 Amux Select,16'h0006,,
30.8720.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.8720.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.8720.7,Reserved,RW,,
30.8720.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.8720.3,Reserved,RW,,
30.8720.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.8976,Host Tx Lane 3 Amux Select,16'h0006,,
30.8976.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.8976.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.8976.7,Reserved,RW,,
30.8976.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.8976.3,Reserved,RW,,
30.8976.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.9242,Host Tx Lane 4 Amux Select,16'h0006,,
30.9242.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.9242.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.9242.7,Reserved,RW,,
30.9242.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.9242.3,Reserved,RW,,
30.9242.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.9488,Host Tx Lane 5 Amux Select,16'h0006,,
30.9488.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.9488.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.9488.7,Reserved,RW,,
30.9488.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.9488.3,Reserved,RW,,
30.9488.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.9744,Host Tx Lane 6 Amux Select,16'h0006,,
30.9744.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.9744.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
30.9744.7,Reserved,RW,,
30.9744.6:4,PLL_AMUX_SELECT,RW,000=High impedance (off); 001=VCTL_OUT; 010=IBG_40u_POLYIND; 011=IBG_40u_POLYDEP; 100=VREG_PLL; 101=VDDR; 110=VSS; 111=VSS;,"This selects one of seven analog monitor points in the Tx PLL which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
30.9744.3,Reserved,RW,,
30.9744.2:0,TX_AMUX_SELECT,RW,000=High impedance (off); 001=VREG VSS; 010=VREG LDRV; 011=VREG CLK; 100=VDD; 101=VDDR; 110=Performance monitor; 111=VSS;,"This selects one of seven analog monitor points in the Tx which can be observed via the AMUX output. Code 000 is defined a high-impedance (off) to allow the common AMUX output to be shared across all Tx, Rx and Plls. For correct operation, only one AMUX should be enabled at any one time, all others should be off."
,,,,
R30.10000,Host Tx Lane 7 Amux Select,16'h0006,,
30.10000.15:12,SPFUSE_TX,RW,,Override the Tx spare fuse bits
30.10000.11:8,SPGCK_FUSE_TX,RW,,Override the Tx global clocking spare fuse bits
