! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/case_1285613542/#alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v 1.1 2012-06-20 11:26:14-07 case Exp $,,,
"! From: iphy/sos/repository/iphy_A.rep/TEMP/rbemra_1274230893/validation#python#iCDR100_internal_MDIO_1v1_flat.csv, v 1.6 2011-07-29 10:44:59-07 rbemra Exp $ ! Revision 1.6  2011-07-29 10:44:59-07  rbemra",,,,
! $Log: #alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v $
! Revision 1.1  2012-06-20 11:26:14-07  case
! Inital release -- not checked
!,,,
! Revision 1.4  2012-04-12 14:24:40-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:58-07  case,,,,
! defined CYA bit function correctly this time!,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:20-07  case,,,,
! defined CYA bit function,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:15-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.4  2011-12-01 14:23:17-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.3  2011-09-29 13:32:42-07  case,,,,
! Changed 30.0.7 to reserved, 30.0.12 to MDIO init per Andre,,,
!,,,,
! Revision 1.2  2011-08-23 12:09:19-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.6  2011-07-29 10:44:59-07  rbemra,,,,
! Same as rev4, fixed header/SOS_kwds,,,
!,,,,
! Revision 1.4  2011-07-29 09:24:11-07  case,,,,
! Corrected Rx and Tx PLL Voltage regulator descriptions,,,,
! Revision 1.3  2011-07-28 15:06:11-07  rbemra,,,,
! Several updates (iPHY team) for iCDR100 first samples,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# RegAddr,RegName,DefVal/Mask,ValueDes,Description
30.69.15:0,Sample Mid,R,,Sample [31:16]
R30.73,25G Lane 2 Sample Mid,16'h0000,,
30.73.15:0,Sample Mid,R,,Sample [31:16]
R30.77,25G Lane 3 Sample Mid,16'h0000,,
30.77.15:0,Sample Mid,R,,Sample [31:16]
R30.66,25G Lane 0 Sample Hi,16'h0000,,
30.66.15:8,Reserved,R,,
30.66.7:0,Sample Hi,R,,Sample [39:32]
R30.70,25G Lane 1 Sample Hi,16'h0000,,
30.70.15:8,Reserved,R,,
30.70.7:0,Sample Hi,R,,Sample [39:32]
R30.74,25G Lane 2 Sample Hi,16'h0000,,
30.74.15:8,Reserved,R,,
30.74.7:0,Sample Hi,R,,Sample [39:32]
R30.78,25G Lane 3 Sample Hi,16'h0000,,
30.78.15:8,Reserved,R,,
30.78.7:0,Sample Hi,R,,Sample [39:32]
R30.256,25G Tx Lane 0 Main Control,16'h0006,,
30.256.15:3,Reserved,R,,
30.256.2,Reserved,RW,,
30.256.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.256.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.512,25G Tx Lane 1 Main Control,16'h0006,,
30.512.15:3,Reserved,R,,
30.512.2,Reserved,RW,,
30.512.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.512.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.768,25G Tx Lane 2 Main Control,16'h0006,,
30.768.15:3,Reserved,R,,
30.768.2,Reserved,RW,,
30.768.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.768.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.1024,25G Tx Lane 3 Main Control,16'h0006,,
30.1024.15:3,Reserved,R,,
30.1024.2,Reserved,RW,,
30.1024.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.1024.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.257,25G Tx Lane 0 Eq Control,16'h0000,,
30.257.15:11,Reserved,R,,
30.257.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.257.7:2,Reserved,R,,
30.257.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.513,25G Tx Lane 1 Eq Control,16'h0000,,
30.513.15:11,Reserved,R,,
30.513.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.513.7:2,Reserved,R,,
30.513.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.769,25G Tx Lane 2 Eq Control,16'h0000,,
30.769.15:11,Reserved,R,,
30.769.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.769.7:2,Reserved,R,,
30.769.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.1025,25G Tx Lane 3 Eq Control,16'h0000,,
30.1025.15:11,Reserved,R,,
30.1025.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.1025.7:2,Reserved,R,,
30.1025.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.258,25G Tx Lane 0 Swing,16'h0007,,
30.258.15:3,Reserved,R,,
30.258.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.514,25G Tx Lane 1 Swing,16'h0007,,
30.514.15:3,Reserved,R,,
30.514.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.770,25G Tx Lane 2 Swing,16'h0007,,
30.770.15:3,Reserved,R,,
30.770.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.1026,25G Tx Lane 3 Swing,16'h0007,,
30.1026.15:3,Reserved,R,,
30.1026.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.259,25G Tx Lane 0 Impedance,16'h0007,,
30.259.15:12,Reserved,R,,
30.259.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.7:5,Reserved,R,,
30.259.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.259.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.515,25G Tx Lane 1 Impedance,16'h0007,,
30.515.15:12,Reserved,R,,
30.515.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.7:5,Reserved,R,,
30.515.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.515.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.771,25G Tx Lane 2 Impedance,16'h0007,,
30.771.15:12,Reserved,R,,
30.771.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.7:5,Reserved,R,,
30.771.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.771.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.1027,25G Tx Lane 3 Impedance,16'h0007,,
30.1027.15:12,Reserved,R,,
30.1027.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.7:5,Reserved,R,,
30.1027.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.1027.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.272,25G Tx Lane 0 Amux,16'h0000,,
30.272.15:14,spfuse_tx[3:2],RW,,
30.272.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.272.12,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.272.11:8,spgck_tx_fuse[3:0],RW,,
30.272.7,Reserved,R,,
30.272.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.272.3,Reserved,R,,
30.272.20,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.528,25G Tx Lane 1 Amux,16'h0000,,
30.528.15:14,spfuse_tx[3:2],RW,,
30.528.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.528.12,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.528.11:8,spgck_tx_fuse[3:0],RW,,
30.528.7,Reserved,R,,
30.528.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.528.3,Reserved,R,,
30.528.2:0,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.784,25G Tx Lane 2 Amux,16'h0000,,
30.784.15:14,spfuse_tx[3:2],RW,,
30.784.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.784.13,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.784.11:8,spgck_tx_fuse[3:0],RW,,
30.784.7,Reserved,R,,
30.784.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.784.3,Reserved,R,,
30.784.2:0,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.1040,25G Tx Lane 3 Amux,16'h0000,,
30.1040.15:14,spfuse_tx[3:2],RW,,
30.1040.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.1040.12,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.1040.11:9,spgck_tx_fuse[3:1],RW,,
30.1040.8,Vreg_Tx_PLL[0],RW,0=+0.00V;1=+0.01V,LSB of Central Vreg control. When set adds 0.01V to regulator output.
30.1040.7,Reserved,R,,
30.1040.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.1040.3,Reserved,R,,
30.1040.2:0,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.273,25G Tx Lane 0 Vreg,16'h0AAA,,
30.273.15:12,Reserved,R,,
30.273.11:8,not_used,RW,,
30.273.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.273.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.529,25G Tx Lane 1 Vreg,16'h0AAA,,
30.529.15:12,Reserved,R,,
30.529.11:8,not_used,RW,,
30.529.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.529.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.785,25G Tx Lane 2 Vreg,16'h0AAA,,
30.785.15:12,Reserved,R,,
30.785.11:8,not_used,RW,,
30.785.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.785.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.1041,25G Tx Lane 3 Vreg,16'h0AAA,,
30.1041.15:12,Reserved,R,,
30.1041.11:8,Vreg_Tx_PLL[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of Central Vreg control. LSB is set by 30.1040.8 (adds 0.01V) to value set here.
30.1041.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.1041.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.1042,Global Clocking Fuse trim,16'h0000,,
30.1042.15:12,RX Poly Dep Fuse trim,RW,,
30.1042.11:8,RX Poly Ind Fuse trim,RW,,
30.1042.7:4,TX Poly Dep Fuse trim,RW,,
30.1042.3:0,TX Poly Ind Fuse trim,RW,,
R30.288,25G Tx Lane 0 CYA ,16'h0000,,
30.288.15:8,Reserved,R,,
30.288.7:2,Reserved,RW,,
30.288.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.544,25G Tx Lane 1 CYA ,16'h0000,,
30.544.15:8,Reserved,R,,
30.544.7:2,Reserved,RW,,
30.544.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.800,25G Tx Lane 2 CYA ,16'h0000,,
30.800.15:8,Reserved,R,,
30.800.7:2,Reserved,RW,,
30.800.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.1056,25G Tx Lane 3 CYA ,16'h0000,,
30.1056.15:8,Reserved,R,,
30.1056.7:2,Reserved,RW,,
30.1056.1:0,Vreg comp mode,RW,00=enable;10=half_strength;11=disable,"Controls the voltage regulator compensation scheme, whereby the voltage regulator for the line driver adapts its output current based on the transition density of the data."
R30.384,25G Rx Lane 0 Main Control,16'h0000,,
30.384.15:3,Reserved,R,,
30.384.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.384.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.384.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.640,25G Rx Lane 1 Main Control,16'h0000,,
30.640.15:3,Reserved,R,,
30.640.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.640.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.640.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.896,25G Rx Lane 2 Main Control,16'h0000,,
30.896.15:3,Reserved,R,,
30.896.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.896.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.896.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.1152,25G Rx Lane 3 Main Control,16'h0000,,
30.1152.15:3,Reserved,R,,
30.1152.2,Autozero Complete,R,,"Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.1152.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the '0' -> '1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to '0' and then to '1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the 'Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.1152.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
R30.385,25G Rx0 1st Order CDR Cntl,16'h0102,,
30.385.15:11,Reserved,R,,
30.385.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.385.7,Reserved,R,,
30.385.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
