!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
R8.0,PMA Control 1 ,16'h204C,,
,,,,
R30.10242,Host Tx Lane 8 Swing ,16'h0007,,
30.10242.15:3,Reserved,R,,
30.10242.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
,,,,
R30.10498,Host Tx Lane 9 Swing ,16'h0007,,
30.10498.15:3,Reserved,R,,
30.10498.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
,,,,
,,,,
R30.4099,Optical Tx Lane 0 Impedance ,16'h0007,,
30.4099.15:12,Reserved,R,,
30.4099.11:10,txa_vreg_comp,RW,,
30.4099.9:5,Reserved,R,,
30.4099.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.4355,Optical Tx Lane 1 Impedance ,16'h0007,,
30.4355.15:12,Reserved,R,,
30.4355.11:10,txa_vreg_comp,RW,,
30.4355.9:5,Reserved,R,,
30.4355.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.4611,Optical Tx Lane 2 Impedance ,16'h0007,,
30.4611.15:12,Reserved,R,,
30.4611.11:10,txa_vreg_comp,RW,,
30.4611.9:5,Reserved,R,,
30.4611.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.4867,Optical Tx Lane 3 Impedance ,16'h0007,,
30.4867.15:12,Reserved,R,,
30.4867.11:10,txa_vreg_comp,RW,,
30.4867.9:5,Reserved,R,,
30.4867.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5123,Optical Tx Lane 4 Impedance ,16'h0007,,
30.5123.15:12,Reserved,R,,
30.5123.11:10,txa_vreg_comp,RW,,
30.5123.9:5,Reserved,R,,
30.5123.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5379,Optical Tx Lane 5 Impedance ,16'h0007,,
30.5379.15:12,Reserved,R,,
30.5379.11:10,txa_vreg_comp,RW,,
30.5379.9:5,Reserved,R,,
30.5379.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5635,Optical Tx Lane 6 Impedance ,16'h0007,,
30.5635.15:12,Reserved,R,,
30.5635.11:10,txa_vreg_comp,RW,,
30.5635.9:5,Reserved,R,,
30.5635.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.5891,Optical Tx Lane 7 Impedance ,16'h0007,,
30.5891.15:12,Reserved,R,,
30.5891.11:10,txa_vreg_comp,RW,,
30.5891.9:5,Reserved,R,,
30.5891.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.6147,Optical Tx Lane 8 Impedance ,16'h0007,,
30.6147.15:12,Reserved,R,,
30.6147.11:10,txa_vreg_comp,RW,,
30.6147.9:5,Reserved,R,,
30.6147.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.6403,Optical Tx Lane 9 Impedance ,16'h0007,,
30.6403.15:12,Reserved,R,,
30.6403.11:10,txa_vreg_comp,RW,,
30.6403.9:5,Reserved,R,,
30.6403.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8195,Host Tx Lane 0 Impedance ,16'h0007,,
30.8195.15:12,Reserved,R,,
30.8195.11:10,txa_vreg_comp,RW,,
30.8195.9:5,Reserved,R,,
30.8195.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8451,Host Tx Lane 1 Impedance ,16'h0007,,
30.8451.15:12,Reserved,R,,
30.8451.11:10,txa_vreg_comp,RW,,
30.8451.9:5,Reserved,R,,
30.8451.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8707,Host Tx Lane 2 Impedance ,16'h0007,,
30.8707.15:12,Reserved,R,,
30.8707.11:10,txa_vreg_comp,RW,,
30.8707.9:5,Reserved,R,,
30.8707.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.8963,Host Tx Lane 3 Impedance ,16'h0007,,
30.8963.15:12,Reserved,R,,
30.8963.11:10,txa_vreg_comp,RW,,
30.8963.9:5,Reserved,R,,
30.8963.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9219,Host Tx Lane 4 Impedance ,16'h0007,,
30.9219.15:12,Reserved,R,,
30.9219.11:10,txa_vreg_comp,RW,,
30.9219.9:5,Reserved,R,,
30.9219.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9475,Host Tx Lane 5 Impedance ,16'h0007,,
30.9475.15:12,Reserved,R,,
30.9475.11:10,txa_vreg_comp,RW,,
30.9475.9:5,Reserved,R,,
30.9475.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9731,Host Tx Lane 6 Impedance ,16'h0007,,
30.9731.15:12,Reserved,R,,
30.9731.11:10,txa_vreg_comp,RW,,
30.9731.9:5,Reserved,R,,
30.9731.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.9987,Host Tx Lane 7 Impedance ,16'h0007,,
30.9987.15:12,Reserved,R,,
30.9987.11:10,txa_vreg_comp,RW,,
30.9987.9:5,Reserved,R,,
30.9987.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.10243,Host Tx Lane 8 Impedance ,16'h0007,,
30.10243.15:12,Reserved,R,,
30.10243.11:10,txa_vreg_comp,RW,,
30.10243.9:5,Reserved,R,,
30.10243.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
R30.10499,Host Tx Lane 9 Impedance ,16'h0007,,
30.10499.15:12,Reserved,R,,
30.10499.11:10,txa_vreg_comp,RW,,
30.10499.9:5,Reserved,R,,
30.10499.4:0,txa_opz[4:0],RW,00000=Max;00001=00001;00011=00011;00111=normal;01111=01111;11111=Min,This register is used to trim the termination resistance as seen at the TXP/N output. This is a thermometer encoded field where each bit enables a trim resistance in parallel with the main termination resistance.
,,,,
,,,,
R30.4100,Optical Tx Lane 0 phase trim ,16'h0000,,
30.4100.15:12,Reserved,R,,
30.4100.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4100.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4100.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4100.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.4356,Optical Tx Lane 1 phase trim ,16'h0000,,
30.4356.15:12,Reserved,R,,
30.4356.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4356.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4356.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4356.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.4612,Optical Tx Lane 2 phase trim ,16'h0000,,
30.4612.15:12,Reserved,R,,
30.4612.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4612.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4612.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4612.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.4868,Optical Tx Lane 3 phase trim ,16'h0000,,
30.4868.15:12,Reserved,R,,
30.4868.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.4868.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.4868.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.4868.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5124,Optical Tx Lane 4 phase trim ,16'h0000,,
30.5124.15:12,Reserved,R,,
30.5124.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.5124.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5124.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5124.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5380,Optical Tx Lane 5 phase trim ,16'h0000,,
30.5380.15:12,Reserved,R,,
30.5380.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.5380.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5380.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5380.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5636,Optical Tx Lane 6 phase trim ,16'h0000,,
30.5636.15:12,Reserved,R,,
30.5636.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.5636.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5636.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5636.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.5892,Optical Tx Lane 7 phase trim ,16'h0000,,
30.5892.15:12,Reserved,R,,
30.5892.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.5892.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.5892.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.5892.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.6148,Optical Tx Lane 8 phase trim ,16'h0000,,
30.6148.15:12,Reserved,R,,
30.6148.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.6148.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.6148.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.6148.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.6404,Optical Tx Lane 9 phase trim ,16'h0000,,
30.6404.15:12,Reserved,R,,
30.6404.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.6404.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.6404.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.6404.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8196,Host Tx Lane 0 phase trim ,16'h0000,,
30.8196.15:12,Reserved,R,,
30.8196.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8196.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8196.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8196.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8452,Host Tx Lane 1 phase trim ,16'h0000,,
30.8452.15:12,Reserved,R,,
30.8452.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8452.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8452.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8452.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8708,Host Tx Lane 2 phase trim ,16'h0000,,
30.8708.15:12,Reserved,R,,
30.8708.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8708.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8708.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8708.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.8964,Host Tx Lane 3 phase trim ,16'h0000,,
30.8964.15:12,Reserved,R,,
30.8964.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.8964.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.8964.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.8964.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9220,Host Tx Lane 4 phase trim ,16'h0000,,
30.9220.15:12,Reserved,R,,
30.9220.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9220.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9220.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9220.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9476,Host Tx Lane 5 phase trim ,16'h0000,,
30.9476.15:12,Reserved,R,,
30.9476.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9476.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9476.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9476.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9732,Host Tx Lane 6 phase trim ,16'h0000,,
30.9732.15:12,Reserved,R,,
30.9732.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9732.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9732.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9732.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.9988,Host Tx Lane 7 phase trim ,16'h0000,,
30.9988.15:12,Reserved,R,,
30.9988.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.9988.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.9988.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.9988.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.10244,Host Tx Lane 8 phase trim ,16'h0000,,
30.10244.15:12,Reserved,R,,
30.10244.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.10244.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.10244.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.10244.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
R30.10500,Host Tx Lane 9 phase trim ,16'h0000,,
30.10500.15:12,Reserved,R,,
30.10500.11:9,DEL_TRIM270,RW,,Delay trim bits for Tx Clock phase 270
30.10500.8:6,DEL_TRIM180,RW,,Delay trim bits for Tx Clock phase 180
30.10500.5:3,DEL_TRIM90,RW,,Delay trim bits for Tx Clock phase 90
30.10500.2:0,DEL_TRIM0,RW,,Delay trim bits for Tx Clock phase 0
,,,,
,,,,
R30.4101,Optical Tx Lane 0 PI control ,16'h0244,,
30.4101.15:11,Reserved,R,,
30.4101.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.4101.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.4101.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.4101.4,Reserved,R,,
30.4101.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.4357,Optical Tx Lane 1 PI control ,16'h0244,,
30.4357.15:11,Reserved,R,,
30.4357.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.4357.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.4357.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.4357.4,Reserved,R,,
30.4357.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.4613,Optical Tx Lane 2 PI control ,16'h0244,,
30.4613.15:11,Reserved,R,,
30.4613.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.4613.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.4613.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.4613.4,Reserved,R,,
30.4613.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.4869,Optical Tx Lane 3 PI control ,16'h0244,,
30.4869.15:11,Reserved,R,,
30.4869.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.4869.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.4869.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.4869.4,Reserved,R,,
30.4869.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.5125,Optical Tx Lane 4 PI control ,16'h0244,,
30.5125.15:11,Reserved,R,,
30.5125.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.5125.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.5125.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.5125.4,Reserved,R,,
30.5125.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.5381,Optical Tx Lane 5 PI control ,16'h0244,,
30.5381.15:11,Reserved,R,,
30.5381.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.5381.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.5381.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.5381.4,Reserved,R,,
30.5381.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.5637,Optical Tx Lane 6 PI control ,16'h0244,,
30.5637.15:11,Reserved,R,,
30.5637.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.5637.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.5637.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.5637.4,Reserved,R,,
30.5637.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.5893,Optical Tx Lane 7 PI control ,16'h0244,,
30.5893.15:11,Reserved,R,,
30.5893.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.5893.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.5893.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.5893.4,Reserved,R,,
30.5893.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.6149,Optical Tx Lane 8 PI control ,16'h0244,,
30.6149.15:11,Reserved,R,,
30.6149.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.6149.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.6149.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.6149.4,Reserved,R,,
30.6149.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.6405,Optical Tx Lane 9 PI control ,16'h0244,,
30.6405.15:11,Reserved,R,,
30.6405.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.6405.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.6405.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.6405.4,Reserved,R,,
30.6405.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.8197,Host Tx Lane 0 PI control ,16'h0244,,
30.8197.15:11,Reserved,R,,
30.8197.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.8197.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.8197.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.8197.4,Reserved,R,,
30.8197.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.8453,Host Tx Lane 1 PI control ,16'h0244,,
30.8453.15:11,Reserved,R,,
30.8453.10:9,PI Integration time,RW,00=156 cycles (~8MHz bandwidth); 01=312 cycles (~4MHz bandwidth); 10=625 cycles (~2MHz bandwidth); 11=1250 cycles (~1MHz bandwidth);,This field sets the integration time for the PI voting filter. PI movements from the partner RX are aggregated over a number of  1.25GHz clock cycles.
30.8453.8,PI power down,RW,0=power up; 1=power down,Force power down on the TX interpolator
30.8453.7:5,PI resolution,RW,001=32 step; 010=64 step; 100=128 step;,TX phase interpolator resolution. It is important to ensure that only one bit is set “1” at any one time
30.8453.4,Reserved,R,,
30.8453.3:0,PI bias adjust,RW,,Bias adjustment control for the TX phase interpolator
,,,,
R30.8709,Host Tx Lane 2 PI control ,16'h0244,,
30.8709.15:11,Reserved,R,,
