! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $
! Revision 1.4  2012-06-26 16:17:18-07  lli
! CHanged eror checker names from Tx to Rx
!,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
30.39.2:0,Cal bus force value (Fine),RW,,Fine Calibration bus value to force : 000=lowest frequency range (maximum capacitance); 111=highest frequency range (minimum capacitance);
R30.41,Receive PLL Config 1,16'h4800,,
30.41.15,Recalib,RW,0=disable; 1=enable,Force recalibration of PLL without reset. Active on rising edge
30.41.14:13,Cal step,RW, 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period,Calibration step duration : 00=32 steps of 1/1024 REFCLK period; 01=32 steps of 1/4096 REFCLK period; 10=32 steps of 1/16384 REFCLK period; 11=32 steps of 1/65536 REFCLK period
30.41.12,Reserved,R,,
30.41.11:9,Charge pump current ,RW, 000=lowest current; 001=001; 010=010; 011=011; 100=100; 101=101; 110=110; 111=highest current,Current value control for charge pump : 000=lowest current; 111=highest current
30.41.8,Force Cal bus ,RW,0=disable; 1=enable,0=normal operation; 1=over-ride internal calibration bus value with value from bits 11:7
30.41.7:3,Cal bus force value (Coarse),RW,,Coarse Calibration bus value to force : 00000=lowest frequency range (maximum capacitance); 11111=highest frequency range (minimum capacitance);
30.41.2:0,Cal bus force value (Fine),RW,,Fine Calibration bus value to force : 000=lowest frequency range (maximum capacitance); 111=highest frequency range (minimum capacitance);
R30.40,Transmit PLL Config 2,16'h5800,,
30.40.15:14,vctlref,RW, 00= 0.4*VDDA_1_0;  01= 0.45*VDDA_1_0; 10= 0.5*VDDA_1_0; 11= 0.55*VDDA_1_0,VCTL Reference setting: 00: 0.4*VDDA_1_0;  01: 0.45*VDDA_1_0; 01: 0.45*VDDA_1_0; 10: 0.5*VDDA_1_0; 11: 0.55*VDDA_1_0
30.40.13:11,LCO amplitude ,RW, 000=lowest amplitude; 001=001; 010=010; 011=011; 100=100; 101=101; 110=110; 111=highest amplitude;,Amplitude control for LC Oscillator : 000=lowest amplitude; 111=highest amplitude
30.40.10:9,Reserved,R,,
30.40.8,Lock,R,,PLL lock indication 
30.40.7:3,Cal Read (Coarse),R,,Internal Calibration bus read value - Coarse
30.40.2:0,Cal Read (Fine),R,,Internal Calibration bus read value - Fine
R30.42,Receive PLL Config 2,16'h5800,,
30.42.15:14,vctlref,RW, 00= 0.4*VDDA_1_0;  01= 0.45*VDDA_1_0; 10= 0.5*VDDA_1_0; 11= 0.55*VDDA_1_0,VCTL Reference setting: 00: 0.4*VDDA_1_0;  01: 0.45*VDDA_1_0; 01: 0.45*VDDA_1_0; 10: 0.5*VDDA_1_0; 11: 0.55*VDDA_1_0
30.42.13:11,LCO amplitude ,RW, 000=lowest amplitude; 001=001; 010=010; 011=011; 100=100; 101=101; 110=110; 111=highest amplitude;,Amplitude control for LC Oscillator : 000=lowest amplitude; 111=highest amplitude
30.42.10:9,Reserved,R,,
30.42.8,Lock,R,,PLL lock indication 
30.42.7:3,Cal Read (Coarse),R,,Internal Calibration bus read value - Coarse
30.42.2:0,Cal Read (Fine),R,,Internal Calibration bus read value - Fine
R30.44,Manual Reset Control,16'hFE00,,
30.44.15,28G PLL reset,RW,0=unreset; 1=reset,1= Reset 28G Rx & Tx PLLs
30.44.14,28G Rx PI reset,RW,0=unreset; 1=reset,1= Reset 28G Rx SERDES PI
30.44.13,28G Rx DM reset,RW,0=unreset; 1=reset,1= Reset 28G Rx SERDES Demux
30.44.12,28G Rx SERDES reset,RW,0=unreset; 1=reset,1= Reset 28G  Rx SERDES
30.44.11,Rx Core datapath reset,RW,0=unreset; 1=reset,1= Reset 28G Rx core datapath (including FIFOs)
30.44.10,28G Tx SERDES reset,RW,0=unreset; 1=reset,1= Reset 28G Tx SERDES
30.44.9,Tx Core datapath reset,RW,0=unreset; 1=reset,1= Reset 28G  Tx core datapath (including FIFOs)
30.44.8:4,Reserved,R,,
30.44.3,pll_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G PLLs
30.44.2,vr_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G SERDES Voltage Regulators
30.44.1,bg_powerdn,RW,0=power-up; 1=power-down,1=Power-down 25G SERDES Bandgaps
30.44.0,analog_powerdn,RW,0=power-up; 1=power-down,1=Power-down (all other) SERDES analog circuitry & PLL REF_OUT buffer
R30.45,Monitor Clock Control,16'h0000,,
30.45.15:6,Reserved,R,,
30.45.5,RX monitor clock divide ratio,RW, 0 =Divide by 8; 1=Divide 16;  ,RX monitor clock divide ratio:  0 =Divide by 8; 1=Divide 16;  
30.45.4,Enable RX monitor clock ,RW,0=disable; 1=enable,Enable RX monitor clock 
30.45.3:2,Reserved,R,,
30.45.1,TX monitor clock divide ratio,RW,0 =Divide by 8; 1=Divide 16;  ,TX monitor clock divide ratio:  0 =Divide by 8; 1=Divide 16;  
30.45.0,Enable TX monitor clock ,RW,0=disable; 1=enable,Enable TX monitor clock 
R30.64,25G Lane 0 Sample Lo,16'h0000,,
30.64.15:0,Sample Lo,R,,Sample [15:0]
R30.68,25G Lane 1 Sample Lo,16'h0000,,
30.68.15:0,Sample Lo,R,,Sample [15:0]
R30.72,25G Lane 2 Sample Lo,16'h0000,,
30.72.15:0,Sample Lo,R,,Sample [15:0]
R30.76,25G Lane 3 Sample Lo,16'h0000,,
30.76.15:0,Sample Lo,R,,Sample [15:0]
R30.65,25G Lane 0 Sample Mid,16'h0000,,
30.65.15:0,Sample Mid,R,,Sample [31:16]
R30.69,25G Lane 1 Sample Mid,16'h0000,,
30.69.15:0,Sample Mid,R,,Sample [31:16]
R30.73,25G Lane 2 Sample Mid,16'h0000,,
30.73.15:0,Sample Mid,R,,Sample [31:16]
R30.77,25G Lane 3 Sample Mid,16'h0000,,
30.77.15:0,Sample Mid,R,,Sample [31:16]
R30.66,25G Lane 0 Sample Hi,16'h0000,,
30.66.15:8,Reserved,R,,
30.66.7:0,Sample Hi,R,,Sample [39:32]
R30.70,25G Lane 1 Sample Hi,16'h0000,,
30.70.15:8,Reserved,R,,
30.70.7:0,Sample Hi,R,,Sample [39:32]
R30.74,25G Lane 2 Sample Hi,16'h0000,,
30.74.15:8,Reserved,R,,
30.74.7:0,Sample Hi,R,,Sample [39:32]
R30.78,25G Lane 3 Sample Hi,16'h0000,,
30.78.15:8,Reserved,R,,
30.78.7:0,Sample Hi,R,,Sample [39:32]
R30.256,25G Tx Lane 0 Main Control,16'h0006,,
30.256.15:3,Reserved,R,,
30.256.2,Reserved,RW,,
30.256.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.256.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.512,25G Tx Lane 1 Main Control,16'h0006,,
30.512.15:3,Reserved,R,,
30.512.2,Reserved,RW,,
30.512.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.512.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.768,25G Tx Lane 2 Main Control,16'h0006,,
30.768.15:3,Reserved,R,,
30.768.2,Reserved,RW,,
30.768.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.768.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.1024,25G Tx Lane 3 Main Control,16'h0006,,
30.1024.15:3,Reserved,R,,
30.1024.2,Reserved,RW,,
30.1024.1,Loopback Output Enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.
30.1024.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control
R30.257,25G Tx Lane 0 Eq Control,16'h0000,,
30.257.15:11,Reserved,R,,
30.257.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.257.7:2,Reserved,R,,
30.257.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.513,25G Tx Lane 1 Eq Control,16'h0000,,
30.513.15:11,Reserved,R,,
30.513.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.513.7:2,Reserved,R,,
30.513.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.769,25G Tx Lane 2 Eq Control,16'h0000,,
30.769.15:11,Reserved,R,,
30.769.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.769.7:2,Reserved,R,,
30.769.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.1025,25G Tx Lane 3 Eq Control,16'h0000,,
30.1025.15:11,Reserved,R,,
30.1025.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;
30.1025.7:2,Reserved,R,,
30.1025.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;
R30.258,25G Tx Lane 0 Swing,16'h0007,,
30.258.15:3,Reserved,R,,
30.258.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.514,25G Tx Lane 1 Swing,16'h0007,,
30.514.15:3,Reserved,R,,
30.514.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.770,25G Tx Lane 2 Swing,16'h0007,,
30.770.15:3,Reserved,R,,
30.770.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.1026,25G Tx Lane 3 Swing,16'h0007,,
30.1026.15:3,Reserved,R,,
30.1026.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude
R30.259,25G Tx Lane 0 Impedance,16'h0007,,
30.259.15:12,Reserved,R,,
30.259.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.259.7:5,Reserved,R,,
30.259.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.259.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.515,25G Tx Lane 1 Impedance,16'h0007,,
30.515.15:12,Reserved,R,,
30.515.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.515.7:5,Reserved,R,,
30.515.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.515.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.771,25G Tx Lane 2 Impedance,16'h0007,,
30.771.15:12,Reserved,R,,
30.771.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.771.7:5,Reserved,R,,
30.771.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.771.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.1027,25G Tx Lane 3 Impedance,16'h0007,,
30.1027.15:12,Reserved,R,,
30.1027.11,clock phase 3 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.10,clock phase 2 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.9,clock phase 1 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.8,clock phase 0 trim enable,RW,0=disable; 1=enable,Enable clock phase trimming. When this bit is set the associated clock phase is delayed by an amount set by bit 0 in this register.
30.1027.7:5,Reserved,R,,
30.1027.4:1,txa_opz[3:0],RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,Transmitter output impedance : 0000=maximum impedance; 1111=minimum impedance;
30.1027.0,Clock phase adjust value,RW,0=750fs;1=1500fs,Set magnitude of clock phase trimming. When ?0? the clock phases are delayed by approx 750fs. When ?1? the clock phases are delayed by approx 1500fs. 
R30.272,25G Tx Lane 0 Amux,16'h0000,,
30.272.15:14,spfuse_tx[3:2],RW,,
30.272.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.272.12,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.272.11:8,spgck_tx_fuse[3:0],RW,,
30.272.7,Reserved,R,,
30.272.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.272.3,Reserved,R,,
30.272.2:0,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.528,25G Tx Lane 1 Amux,16'h0000,,
30.528.15:14,spfuse_tx[3:2],RW,,
30.528.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.528.12,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.528.11:8,spgck_tx_fuse[3:0],RW,,
30.528.7,Reserved,R,,
30.528.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.528.3,Reserved,R,,
30.528.2:0,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.784,25G Tx Lane 2 Amux,16'h0000,,
30.784.15:14,spfuse_tx[3:2],RW,,
30.784.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.784.12,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.784.11:8,spgck_tx_fuse[3:0],RW,,
30.784.7,Reserved,R,,
30.784.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.784.3,Reserved,R,,
30.784.2:0,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.1040,25G Tx Lane 3 Amux,16'h0000,,
30.1040.15:14,spfuse_tx[3:2],RW,,
30.1040.13,TXA_vreg2_ldrv_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.1040.12,TXA_vreg1_clk[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.1040.11:9,spgck_tx_fuse[3:1],RW,,
30.1040.8,Vreg_Tx_PLL[0],RW,0=+0.00V;1=+0.01V,LSB of Central Vreg control. When set adds 0.01V to regulator output.
30.1040.7,Reserved,R,,
30.1040.6:4,PLL Amux select[2:0],RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep_DO_NOT_USE; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.1040.3,Reserved,R,,
30.1040.2:0,TXA Amux select[2:0],RW,000=tristate; 001=vreg_vss; 010=vreg_ldrv; 011=vreg_clk; 100=vdd; 101=vddr;110=perf_monitor; 111=vss,
R30.273,25G Tx Lane 0 Vreg,16'h0AAA,,
30.273.15:12,Reserved,R,,
30.273.11:8,not_used,RW,,
30.273.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.273.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.274,Global Clocking Fuse trim,16'h0000,,
30.274.15:12,RX Poly Dep Fuse trim,RW,,
30.274.11:8,RX Poly Ind Fuse trim,RW,,
30.274.7:4,Reserved,RW,,
30.274.3:0,Reserved,RW,,
R30.529,25G Tx Lane 1 Vreg,16'h0AAA,,
30.529.15:12,Reserved,R,,
30.529.11:8,not_used,RW,,
30.529.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.529.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.785,25G Tx Lane 2 Vreg,16'h0AAA,,
30.785.15:12,Reserved,R,,
30.785.11:8,not_used,RW,,
30.785.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.785.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.1041,25G Tx Lane 3 Vreg,16'h0AAA,,
30.1041.15:12,Reserved,R,,
30.1041.11:8,Vreg_Tx_PLL[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of Central Vreg control. LSB is set by 30.1040.8 (adds 0.01V) to value set here.
30.1041.7:4,TXA_vreg2_ldrv_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 13 (adds 0.01V) to value set here.
30.1041.3:0,TXA_vreg1_clk[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane Amux control register bit 12 (adds 0.01V) to value set here.
R30.1042,Global Clocking Fuse trim,16'h0000,,
30.1042.15:12,Reserved,RW,,
30.1042.11:8,Reserved,RW,,
